id¦title¦content¦name¦translation_id¦status
1¦Terms and Conditions¦Please read these terms and conditions before using the website quislisting.com. These Terms and Conditions govern the relationship between the website quislisting.com, and those users of the services of this website. Using the site quislisting.com in any way means that the user has read and agreed to the Terms and Conditions and any subsequent changes to it, which it binds the user under a contract that is obliged to observe. If you do not agree with all the terms and conditions below, please do not use this site.                        <h2>Rules for publishing ads</h2>                        <ul>                         	<li>The titles and the text in the ads must be in your language. They are allowed to be translated into other language later on in My Ads section.</li>                         	<li>The title should accurately describe the content of the ad.</li>                         	<li>Ads should not contain text or individual words or parts of words in capital letters (Caps Lock). Example: "SALE NEW camera NIKON".</li>                         	<li>The ads must describe in details the offered product or service. The publication of false and/or misleading information and photos is not allowed. Publication of texts on various topics, not related to specific goods and services, is forbidden as well.</li>                         	<li>The use of obscene, offensive language and personal qualifications is forbidden. Publication of foreign pictures and personal data with the intention to harm the image and dignity of other persons is not allowed.</li>                         	<li>Offering products and services, which are against the law, is forbidden.</li>                         	<li>The ads must be published in the most appropriate category and area.</li>                         	<li>The publication of any contact information in the title is prohibited. This includes a phone number, web addresses, Skype and others.</li>                         	<li>Posting web addresses and links to the titles, photos and in the content of the ads for advertising purposes is not allowed. Direct advertising of similar sites is prohibited.</li>                         	<li>The publication of the same ad more than once, in several sections and areas, is not allowed.</li>                         	<li>Posting photos with pornographic content are forbidden. Ads with such photos will be removed without any warning.</li>                         	<li>Posting the same comment repeatedly under one or more ads(flooding) is not allowed. These comments will be removed at the discretion of a moderator without further notice. A second violation will lead to limited access for the authors in the comments section.</li>                        </ul>¦terms-and-conditions¦13¦PUBLISH
2¦Общи условия¦'Моля, прочетете тези правила и условия, преди да използвате уеб сайт myrighescort.com. Настоящите Общи условия уреждат взаимоотношенията между myrightescort.com уебсайт, и тези на потребителите на услугите на този сайт. Използването на myrightescort.com сайт по никакъв начин не означава, че потребителят е прочел и се съгласи да Общите условия и всички последващи промени в него, което го свързва с потребителя по силата на договор, който е длъжен да спазва. Ако не сте съгласни с всички условия и условията по-долу, моля не използвайте този сайт.
                 <h2>Правила за публикуване на обяви</h2>
                 <ul>
                  	<li>Заглавията и текстовете в рекламите, трябва да бъдат на вашия език. Те имат право да бъдат преведени на други езици по-късно в моите обяви.</li>
                  	<li>Заглавието трябва точно да се опише съдържанието на рекламата.</li>
                  	<li>Рекламите не трябва да съдържат текст или отделни думи или части от думи с главни букви (Caps Lock). Пример: "Продажба на нов фотоапарат NIKON".</li>
                  	<li>Рекламите трябва да опишат в детайли на предлагания продукт или услуга. Публикуването на невярна и / или подвеждаща информация и снимки не е позволено. Публикуването на текстове на различни теми, които не са свързани с конкретни стоки и услуги, е забранено, както добре.</li>
                  	<li>Използването на нецензурен, обиден език и квалификация е забранено. Публикация на чужди снимки и лични данни, с намерение да се навреди на имиджа и достойнството на други лица не е позволено.</li>
                  	<li>Предлагането на продукти и услуги, които са против закона, е забранено.</li>
                  	<li>Рекламите трябва да бъдат публикувани в най-подходящата категория и зона.</li>
                  	<li>Публикуването на всяка информация за контакт в заглавието е забранено. Това включва телефонен номер, уеб адреси, Skype и др.</li>
                  	<li>Не се допуска публикуване на уеб адреси и връзки към заглавия, снимки и в съдържанието на рекламите, за рекламни цели. Direct реклама на подобни сайтове е забранено.</li>
                  	<li>Публикуването на една и съща реклама повече от един път, в няколко секции и райони, не е позволено.</li>
                  	<li>Публикуване на реклами на телефони с добавена стойност (импулс) под различно сечение от "Телефон секс" е забранено. Подобни реклами ще бъдат премахнати.</li>
                  	<li>Публикуване на снимки с порнографско съдържание са забранени. Обяви с тези снимки ще бъдат премахнати, без никакво предупреждение.</li>
                  	<li>Публикуване същия коментар многократно по едно или повече реклами (наводнения) не е позволено. Тези коментари ще бъдат премахнати по преценка на модератор без предупреждение. Повторно нарушение ще доведе до ограничен достъп за авторите в секцията за коментари.</li>
                 </ul>'¦общи-условия¦26¦PUBLISH
3¦Termeni si conditii¦'Not ready :('¦termeni-si-conditii¦37¦PUBLISH
